CpipJ_CPIJ000931	04512
CpipJ_CPIJ000948	00010 01100 01120 03018
CpipJ_CPIJ000951	03040
CpipJ_CPIJ000979	00230 00240 01100 03020
CpipJ_CPIJ000990	00330 00480 01100
CpipJ_CPIJ000992	00981
CpipJ_CPIJ000994	00981
CpipJ_CPIJ000998	00230
CpipJ_CPIJ001031	03040
CpipJ_CPIJ001039	00981
CpipJ_CPIJ001040	04340
CpipJ_CPIJ001041	00511 00520 00531 00603 00604 01100 04142
CpipJ_CPIJ001043	00062 01100 04142
CpipJ_CPIJ001044	04080
CpipJ_CPIJ001047	00480 01100
CpipJ_CPIJ001067	04120
CpipJ_CPIJ001079	00230 01100
CpipJ_CPIJ001089	00603 01100
CpipJ_CPIJ001090	00603 01100
CpipJ_CPIJ001091	00603 01100
CpipJ_CPIJ001119	03010
CpipJ_CPIJ001138	00270 00450 01100
CpipJ_CPIJ001155	04914
CpipJ_CPIJ001156	04141 04310 04914
CpipJ_CPIJ001157	04141 04310 04914
CpipJ_CPIJ001158	04141 04310 04914
CpipJ_CPIJ001164	03060
CpipJ_CPIJ001165	04120
CpipJ_CPIJ001176	04142
CpipJ_CPIJ001180	03010
CpipJ_CPIJ001182	00970
CpipJ_CPIJ001194	03018 03040
CpipJ_CPIJ001199	04080
CpipJ_CPIJ001202	00310
CpipJ_CPIJ001213	04120
CpipJ_CPIJ001214	03010
CpipJ_CPIJ001218	03010
CpipJ_CPIJ001219	00230 00240 01100 03020
CpipJ_CPIJ001220	03010
CpipJ_CPIJ001221	04310
CpipJ_CPIJ001229	04340
CpipJ_CPIJ001235	04140
CpipJ_CPIJ001255	00563 01100
CpipJ_CPIJ001263	00790 01100 01120
CpipJ_CPIJ001265	00790 01100 01120
CpipJ_CPIJ001268	00520
CpipJ_CPIJ001270	03010
CpipJ_CPIJ001273	04140 04150
CpipJ_CPIJ001315	04320
CpipJ_CPIJ001316	00030 00480 01100 01120
CpipJ_CPIJ001335	04141
CpipJ_CPIJ001337	00240 00983 01100
CpipJ_CPIJ001360	03060
CpipJ_CPIJ001361	03050
CpipJ_CPIJ001393	04144
CpipJ_CPIJ001398	03022
CpipJ_CPIJ001399	03030 03420 03430
CpipJ_CPIJ001407	03018
CpipJ_CPIJ001411	00310
CpipJ_CPIJ001417	00230
CpipJ_CPIJ001423	04120
CpipJ_CPIJ001433	00040 00500 00531 00860 00983 01100 04142
CpipJ_CPIJ001448	00565 01100
CpipJ_CPIJ001453	04120
CpipJ_CPIJ001456	00010 00020 00290 00620 00650 01100 01120
CpipJ_CPIJ001468	04120 04914
CpipJ_CPIJ001495	04144 04145
CpipJ_CPIJ001502	04120 04141
CpipJ_CPIJ001522	04745
CpipJ_CPIJ001538	04144 04145
CpipJ_CPIJ001547	03013
CpipJ_CPIJ001555	00564 01100
CpipJ_CPIJ001556	00071 00592 01040 01100 04146
CpipJ_CPIJ001563	00190 01100
CpipJ_CPIJ001564	00450 01100
CpipJ_CPIJ001565	03420
CpipJ_CPIJ001570	04120
CpipJ_CPIJ001576	01100 04146
CpipJ_CPIJ001579	00052 00520 01100
CpipJ_CPIJ001609	00564
CpipJ_CPIJ001612	03040
CpipJ_CPIJ001617	04330
CpipJ_CPIJ001621	04122
CpipJ_CPIJ001653	04141
CpipJ_CPIJ001655	00010 01120
CpipJ_CPIJ001670	00561 00564 01100
CpipJ_CPIJ001671	03430
CpipJ_CPIJ001676	00564 01100
CpipJ_CPIJ001692	04310
CpipJ_CPIJ001699	00510 01100
CpipJ_CPIJ001705	04142
CpipJ_CPIJ001706	03040
CpipJ_CPIJ001707	03050
CpipJ_CPIJ001713	00230 00240 01100 03030
CpipJ_CPIJ001725	00051 00520 01100
CpipJ_CPIJ001739	00230 00240 00983 01100
CpipJ_CPIJ001778	03018
CpipJ_CPIJ001780	03013
CpipJ_CPIJ001786	04512
CpipJ_CPIJ001807	00910
CpipJ_CPIJ001844	04013
CpipJ_CPIJ001855	00230 00240 01100 03020
CpipJ_CPIJ001879	03040
CpipJ_CPIJ001883	03022
